GEOGRAPHY,XLON,XLAT,BOUNDS,ACTIVITY_INDEX_TOTAL,WKT
032002023320213322,-88.906173706,34.398411518,"-88.9068603515625,34.39784494644986,-88.90548706054688,34.398978088913694",0.043611,"POLYGON ((-88.90548706054688 34.398978088913694, -88.9068603515625 34.398978088913694, -88.9068603515625 34.39784494644986, -88.90548706054688 34.39784494644986, -88.90548706054688 34.398978088913694))"
032002023320213322,-88.906173706,34.398411518,"-88.9068603515625,34.39784494644986,-88.90548706054688,34.398978088913694",0.01976,"POLYGON ((-88.90548706054688 34.398978088913694, -88.9068603515625 34.398978088913694, -88.9068603515625 34.39784494644986, -88.90548706054688 34.39784494644986, -88.90548706054688 34.398978088913694))"
032002023320213322,-88.906173706,34.398411518,"-88.9068603515625,34.39784494644986,-88.90548706054688,34.398978088913694",0.02467,"POLYGON ((-88.90548706054688 34.398978088913694, -88.9068603515625 34.398978088913694, -88.9068603515625 34.39784494644986, -88.90548706054688 34.39784494644986, -88.90548706054688 34.398978088913694))"
032002023320213322,-88.906173706,34.398411518,"-88.9068603515625,34.39784494644986,-88.90548706054688,34.398978088913694",0.022012,"POLYGON ((-88.90548706054688 34.398978088913694, -88.9068603515625 34.398978088913694, -88.9068603515625 34.39784494644986, -88.90548706054688 34.39784494644986, -88.90548706054688 34.398978088913694))"
032002023320213322,-88.906173706,34.398411518,"-88.9068603515625,34.39784494644986,-88.90548706054688,34.398978088913694",0.022039,"POLYGON ((-88.90548706054688 34.398978088913694, -88.9068603515625 34.398978088913694, -88.9068603515625 34.39784494644986, -88.90548706054688 34.39784494644986, -88.90548706054688 34.398978088913694))"
032002023320213322,-88.906173706,34.398411518,"-88.9068603515625,34.39784494644986,-88.90548706054688,34.398978088913694",0.041377,"POLYGON ((-88.90548706054688 34.398978088913694, -88.9068603515625 34.398978088913694, -88.9068603515625 34.39784494644986, -88.90548706054688 34.39784494644986, -88.90548706054688 34.398978088913694))"
032002023320213322,-88.906173706,34.398411518,"-88.9068603515625,34.39784494644986,-88.90548706054688,34.398978088913694",0.029241,"POLYGON ((-88.90548706054688 34.398978088913694, -88.9068603515625 34.398978088913694, -88.9068603515625 34.39784494644986, -88.90548706054688 34.39784494644986, -88.90548706054688 34.398978088913694))"
032002023320213322,-88.906173706,34.398411518,"-88.9068603515625,34.39784494644986,-88.90548706054688,34.398978088913694",0.02092,"POLYGON ((-88.90548706054688 34.398978088913694, -88.9068603515625 34.398978088913694, -88.9068603515625 34.39784494644986, -88.90548706054688 34.39784494644986, -88.90548706054688 34.398978088913694))"
032002023320213322,-88.906173706,34.398411518,"-88.9068603515625,34.39784494644986,-88.90548706054688,34.398978088913694",0.022355,"POLYGON ((-88.90548706054688 34.398978088913694, -88.9068603515625 34.398978088913694, -88.9068603515625 34.39784494644986, -88.90548706054688 34.39784494644986, -88.90548706054688 34.398978088913694))"
032002023320221001,-88.932266235,34.397278368,"-88.93295288085938,34.39671178864244,-88.93157958984375,34.39784494644986",0.032584,"POLYGON ((-88.93157958984375 34.39784494644986, -88.93295288085938 34.39784494644986, -88.93295288085938 34.39671178864244, -88.93157958984375 34.39671178864244, -88.93157958984375 34.39784494644986))"
032002023320230111,-88.913040161,34.397278368,"-88.91372680664062,34.39671178864244,-88.912353515625,34.39784494644986",0.015097,"POLYGON ((-88.912353515625 34.39784494644986, -88.91372680664062 34.39784494644986, -88.91372680664062 34.39671178864244, -88.912353515625 34.39671178864244, -88.912353515625 34.39784494644986))"
032002023320231100,-88.906173706,34.397278368,"-88.9068603515625,34.39671178864244,-88.90548706054688,34.39784494644986",0.023364,"POLYGON ((-88.90548706054688 34.39784494644986, -88.9068603515625 34.39784494644986, -88.9068603515625 34.39671178864244, -88.90548706054688 34.39671178864244, -88.90548706054688 34.39784494644986))"
032002023320231100,-88.906173706,34.397278368,"-88.9068603515625,34.39671178864244,-88.90548706054688,34.39784494644986",0.022588,"POLYGON ((-88.90548706054688 34.39784494644986, -88.9068603515625 34.39784494644986, -88.9068603515625 34.39671178864244, -88.90548706054688 34.39671178864244, -88.90548706054688 34.39784494644986))"
032002023320231100,-88.906173706,34.397278368,"-88.9068603515625,34.39671178864244,-88.90548706054688,34.39784494644986",0.033734,"POLYGON ((-88.90548706054688 34.39784494644986, -88.9068603515625 34.39784494644986, -88.9068603515625 34.39671178864244, -88.90548706054688 34.39671178864244, -88.90548706054688 34.39784494644986))"
032002023320231100,-88.906173706,34.397278368,"-88.9068603515625,34.39671178864244,-88.90548706054688,34.39784494644986",0.015752,"POLYGON ((-88.90548706054688 34.39784494644986, -88.9068603515625 34.39784494644986, -88.9068603515625 34.39671178864244, -88.90548706054688 34.39671178864244, -88.90548706054688 34.39784494644986))"
