GEO,X,Y,FID,CALCLOCATI,CALCLOCA_1,CALCLOCA_2,NAME,ADDRESS,CITY,STATE,ZIP,FORMATED_P,STATUS,ICON,TYPE_,OBJECTID
"{
  ""coordinates"": [
    -9.039630000000000e+01,
    3.186430000000000e+01
  ],
  ""type"": ""Point""
}",-90.3963,31.8643,2053,"31.86425600,-90.39634600",-90.396346,31.864256,FMC HAZLEHURST,201 N Haley St #0,HAZLEHURST,MS,39083,Please call patient admission line,open,small_green,Dialysis Center,2063
"{
  ""coordinates"": [
    -9.138140000000000e+01,
    3.286180000000000e+01
  ],
  ""type"": ""Point""
}",-91.3814,32.8618,2061,"32.86180500,-91.38142100",-91.381421,32.861805,FMCNA - OAK GROVE,711 E JEFFERSON DR,OAK GROVE,LA,71263,Please call patient admission line,open,small_green,Dialysis Center,2071
"{
  ""coordinates"": [
    -9.436610000000000e+01,
    3.253320000000000e+01
  ],
  ""type"": ""Point""
}",-94.3661,32.5332,2065,"32.53317400,-94.36605100",-94.366051,32.533174,MARSHALL DIALYSIS CENTER,1301 S WASHINGTON,MARSHALL,TX,75670,Please call patient admission line,open,small_green,Dialysis Center,2075
"{
  ""coordinates"": [
    -8.754800000000000e+01,
    3.324730000000000e+01
  ],
  ""type"": ""Point""
}",-87.548,33.2473,2078,"33.24726700,-87.54795500",-87.547955,33.247267,RELIANT RENAL CARE NORTHRIDGE,4400 WATERMELON ROAD,NORTHPORT,AL,35473,Please call patient admission line,open,small_green,Dialysis Center,2088
"{
  ""coordinates"": [
    -8.812170000000000e+01,
    3.075860000000000e+01
  ],
  ""type"": ""Point""
}",-88.1217,30.7586,2126,"30.75862400,-88.12167900",-88.121679,30.758624,FMC PRICHARD,4016 HWY 45,WHISTLER,AL,36613,Please call patient admission line,open,small_green,Dialysis Center,2153
"{
  ""coordinates"": [
    -9.156019999999999e+01,
    3.451630000000000e+01
  ],
  ""type"": ""Point""
}",-91.5602,34.5163,2156,"34.51631800,-91.56016500",-91.560165,34.516318,FMCNA - STUTTGART DIALYSIS,805 WEST MADISON,STUTTGART,AR,72160,Please call patient admission line,open,small_green,Dialysis Center,2319
"{
  ""coordinates"": [
    -9.030410000000001e+01,
    2.945270000000000e+01
  ],
  ""type"": ""Point""
}",-90.3041,29.4527,2157,"29.45265300,-90.30412500",-90.304125,29.452653,LADY OF THE SEA DIALYSIS CTR,17108 W MAIN ST,CUT OFF,LA,70345,Please call patient admission line,open,small_green,Dialysis Center,2322
"{
  ""coordinates"": [
    -9.204490000000000e+01,
    3.024750000000000e+01
  ],
  ""type"": ""Point""
}",-92.0449,30.2475,2158,"30.24745400,-92.04485900",-92.044859,30.247454,"DCI - KIDNEY TREATMENT OPTIONS CTR, LLC (KTOC)",301 ALCIDE DOMINIQUE ROAD,LAFAYETTE,LA,70506,Please call patient admission line,open,small_green,Dialysis Center,2325
"{
  ""coordinates"": [
    -8.707620000000000e+01,
    3.063650000000000e+01
  ],
  ""type"": ""Point""
}",-87.0762,30.6365,2354,"30.63651800,-87.07617400",-87.076174,30.636518,FMC - MILTON,5934 BERRY HILL ROAD #2,MILTON,FL,32570,Please call patient admission line,open,small_green,Dialysis Center,2628
"{
  ""coordinates"": [
    -8.731680000000000e+01,
    3.041720000000000e+01
  ],
  ""type"": ""Point""
}",-87.3168,30.4172,2363,"30.41717400,-87.31681900",-87.316819,30.417174,DaVita West Pensacola Dialysis Center,598 FAIRFIELD DRIVE,PENSACOLA,FL,32506,Please call patient admission line,open,small_green,Dialysis Center,2637
